"","","","","","","","","","","",""
"","Exports, FOB to Partner Countries","","","","","","","","","",""
"","","","","","","","","","","",""
"","World","","","","","","","","","",""
"","US Dollars, Millions","","","","","","","","","",""
"","","","","","","","","","","",""
"","Lao People's Dem. Rep.","3,253.49","4,171.57","5,763.66","6,633.00","7,241.30","6,818.54","6,041.27","6,521.55","6,914.72","6,857.21"
"","Malaysia","175,071.40","202,237.29","216,283.66","227,910.25","224,329.02","189,319.53","173,140.41","202,504.50","217,993.66","220,912.82"
"","Maldives","1,124.03","1,376.54","1,446.69","1,521.54","1,742.63","1,548.35","1,847.66","2,027.89","2,402.38","2,332.56"
"","Marshall Islands, Rep. of the","656.23","464.33","431.73","637.07","1,596.26","1,554.42","4,373.07","13,813.09","12,892.54","11,587.42"
"","Micronesia, Federated States of","688.63","918.54","554.98","495.30","456.11","334.40","505.95","589.42","602.14","200.27"
"","Mongolia","3,478.75","6,363.24","7,121.82","6,267.62","5,337.85","3,913.01","3,115.74","4,168.93","5,199.64","5,687.01"
"","Myanmar","9,053.94","12,547.72","15,569.33","18,683.93","22,297.72","22,313.83","22,054.12","24,500.03","28,431.53","29,297.93"
"","Nauru, Rep. of","22.87","39.23","48.85","155.24","138.71","83.86","47.86","47.74","93.42","49.87"
"","Nepal","3,460.29","4,928.19","6,156.43","6,867.77","8,078.98","5,526.50","6,585.00","8,048.70","10,144.05","10,198.92"
"","New Caledonia","2,936.77","3,105.77","2,776.91","2,613.26","2,808.68","2,297.38","2,045.82","2,167.10","2,447.20","2,528.03"
"","Palau, Rep. of","35.52","49.47","26.64","75.73","55.12","78.55","140.99","108.63","127.28","127.94"
"","Papua New Guinea","4,568.49","6,416.87","8,111.89","6,254.18","5,587.10","5,115.92","4,499.36","4,599.47","4,795.30","4,761.71"
"","Philippines","79,946.67","90,102.85","97,958.05","101,502.17","109,044.66","100,250.21","107,715.43","121,717.61","134,971.30","135,251.07"
"","Samoa","354.97","379.93","382.03","355.73","341.67","322.05","348.87","381.94","404.54","452.55"
"","Solomon Islands","314.99","428.12","457.85","461.42","424.59","390.28","418.29","448.50","514.24","467.53"
"","Sri Lanka","14,158.97","20,442.83","18,982.77","19,536.68","22,609.26","21,152.34","18,197.38","20,134.08","21,423.55","18,602.36"
"","Thailand","164,370.41","202,490.44","226,075.37","227,061.27","208,083.92","189,057.86","178,828.25","203,457.62","228,802.83","216,433.62"
"","Timor-Leste, Dem. Rep. of","919.53","608.80","676.32","457.26","530.85","592.11","357.61","402.15","314.75","552.32"
"","Tonga","145.91","172.95","184.60","197.56","194.93","177.13","201.15","137.78","213.62","216.24"
"","Tuvalu","73.02","72.69","211.71","107.14","121.37","76.80","57.73","78.96","86.78","91.12"
"","Vanuatu","966.86","511.49","657.47","983.91","708.18","380.09","366.91","478.46","321.96","290.37"
"","Vietnam","92,488.87","116,828.66","126,970.12","155,273.57","180,657.30","194,129.16","202,417.58","236,609.10","258,786.29","271,820.88"
"","Asia not specified","11,767.07","15,449.90","11,542.27","13,982.66","15,531.93","16,148.36","18,030.76","6,949.44","3,587.80","5,804.18"
"","Emerging and Developing Europe","883,147.30","1,129,989.15","1,150,766.52","1,181,300.78","1,147,623.00","908,195.13","907,495.95","1,061,457.44","1,164,889.54","1,156,103.89"
"","Albania","4,004.71","4,601.16","4,499.57","4,424.35","4,725.57","4,144.60","4,503.72","4,997.72","5,683.93","5,618.58"
"","Belarus, Rep. of","13,924.18","26,205.18","39,787.89","36,003.24","34,432.07","24,337.99","23,168.70","28,711.18","33,351.51","32,890.55"
"","Bosnia and Herzegovina","7,539.22","9,061.51","8,583.82","8,932.34","9,548.45","7,707.98","7,868.33","8,962.57","9,863.41","9,708.89"
"","Bulgaria","24,331.86","30,638.30","31,251.48","30,831.51","32,015.73","28,525.33","29,695.23","34,892.86","38,205.10","37,449.83"
"","Croatia, Rep. of","19,780.68","22,561.12","19,843.49","20,716.44","22,540.36","20,789.37","21,544.81","25,767.99","30,180.62","30,605.43"
"","Czechoslovakia","47.40","44.54","30.00","28.46","26.92","23.59","","","",""
"","Faroe Islands","711.09","860.42","1,035.55","993.16","1,017.49","964.00","922.92","970.92","1,119.85","1,201.92"
"","Gibraltar","10,257.90","16,038.68","18,808.89","17,904.72","13,972.21","9,277.94","7,967.65","8,855.25","9,662.79","8,552.38"
"","Hungary","83,417.18","97,510.98","91,171.94","96,814.10","102,774.75","91,620.38","93,482.17","104,884.00","118,170.38","117,355.62"
"","Kosovo, Rep. of","2,293.72","2,730.47","2,095.71","2,121.53","2,115.75","1,780.56","1,939.53","2,189.08","2,440.56","2,545.87"
"","Moldova, Rep. of","3,696.81","4,645.44","5,920.16","6,313.61","6,349.56","4,462.77","4,269.32","5,028.88","6,005.47","6,139.47"
"","Montenegro","2,298.37","2,617.59","2,475.52","2,594.39","2,712.41","2,183.96","2,455.56","2,380.61","2,278.38","3,084.27"
"","North Macedonia, Republic of","4,585.03","5,679.47","5,582.94","5,843.02","6,546.62","5,903.96","6,260.29","7,201.91","8,314.91","8,667.99"
"","Poland, Rep. of","183,185.09","223,990.82","208,200.23","217,998.42","231,547.00","207,072.73","213,471.58","243,819.54","281,020.24","278,249.84"
"","Romania","58,405.85","72,845.59","68,184.35","71,588.88","77,352.33","69,744.12","73,578.78","83,665.68","97,723.75","96,756.63"
"","Russian Federation","223,487.15","302,028.88","317,968.69","321,390.05","292,845.50","182,059.54","178,768.97","214,633.33","227,566.08","232,450.86"
"","Serbia, Rep. of","13,029.78","16,581.84","15,968.74","17,164.15","17,933.73","16,285.70","16,755.67","19,983.51","23,410.69","23,858.64"
"","Turkey","169,708.50","214,294.75","221,148.98","234,591.83","227,054.29","190,804.99","179,054.92","212,558.82","208,638.22","199,268.82"
"","Yugoslavia","4.90","33.57","4.29","3.43","0.98","4.96","5.16","","",""
"","Ukraine","55,369.14","74,022.15","85,285.51","81,916.87","58,808.16","37,658.20","38,765.08","48,652.24","57,447.29","57,920.49"
"","USSR","0.07","","","0.00","","","","","",""
"","Sub-Saharan Africa","300,063.09","394,219.85","394,160.86","411,340.20","427,038.92","354,074.80","308,745.93","326,631.34","356,833.77","364,457.44"
"","Angola","16,113.60","18,389.36","21,581.55","24,174.55","28,706.12","18,980.96","11,791.17","12,135.74","10,652.02","9,518.56"
"","Benin","6,579.51","9,855.51","6,627.55","8,013.54","8,792.03","6,961.01","5,225.37","5,847.94","5,672.20","5,134.38"
"","Botswana","5,545.20","6,487.18","7,585.48","7,657.05","7,305.46","6,635.99","5,651.91","5,559.63","5,818.95","6,196.82"
"","Burkina Faso","1,508.20","2,335.16","2,471.70","3,164.17","2,914.24","2,379.25","2,505.12","3,053.89","3,053.68","3,037.31"
"","Burundi","428.14","441.03","492.23","472.51","518.59","424.27","443.13","477.68","490.85","569.14"
"","Cabo Verde","782.83","955.08","710.21","778.26","772.01","556.89","664.76","727.30","779.71","911.10"
"","Cameroon","4,616.74","6,144.75","6,743.21","7,246.91","7,643.50","6,128.31","5,521.20","5,736.34","6,443.75","5,953.05"
"","Central African Rep.","420.29","720.62","342.44","416.14","305.64","607.09","259.51","256.40","312.26","353.21"
"","Chad","1,196.33","919.66","860.35","1,213.70","1,341.85","850.57","602.20","589.83","803.11","977.52"
"","Comoros, Union of the","258.64","238.27","243.57","231.95","251.66","425.53","504.72","357.12","522.73","308.37"
"","Congo, Dem. Rep. of the","3,871.21","5,191.04","6,137.89","7,043.11","6,773.85","6,112.14","5,003.48","4,979.97","7,635.97","8,327.32"
"","Congo, Rep. of","3,333.97","4,708.00","4,228.13","4,610.19","6,340.06","5,311.27","4,851.73","2,520.79","2,475.94","2,274.56"
"","Côte d'Ivoire","7,117.62","7,036.46","8,558.72","10,494.42","10,250.73","9,480.71","8,862.21","10,085.42","11,177.47","11,148.69"
"","Equatorial Guinea, Rep. of","2,441.51","2,497.68","2,318.91","3,143.03","2,593.77","1,725.28","1,275.64","838.40","1,055.57","997.22"
"","Eritrea, The State of","456.13","512.83","481.40","526.41","364.66","404.70","254.20","267.27","361.33","341.78"
"","Eswatini, Kingdom of","2,098.93","1,913.00","1,779.76","1,728.68","1,806.16","1,619.54","1,478.94","1,638.54","1,718.66","1,648.09"
"","Ethiopia, The Federal Dem. Rep. of","5,228.25","5,677.61","7,333.97","6,902.25","11,113.22","13,772.92","13,184.53","13,067.15","14,264.89","14,594.71"
"","Gabon","2,876.47","3,693.88","3,639.21","4,752.57","4,447.53","3,277.43","2,760.23","2,215.60","2,591.43","2,328.37"
"","Gambia, The","759.81","1,055.79","938.40","1,022.06","1,126.95","950.79","946.50","1,207.31","1,259.03","1,435.84"
"","Ghana","12,101.72","16,923.61","20,723.98","18,771.28","17,693.83","15,888.40","15,142.57","15,713.92","15,852.39","14,730.12"
"","Guinea","2,212.12","3,274.11","3,490.81","3,921.34","3,801.34","3,519.27","3,898.02","4,436.77","4,600.93","4,594.45"
"","Guinea-Bissau","225.05","304.58","297.25","303.71","392.09","257.71","303.82","316.28","301.50","329.96"
"","Kenya","14,567.71","18,618.46","21,079.81","21,210.40","25,040.01","21,184.29","18,033.68","18,425.78","20,319.54","18,861.13"
"","Lesotho, Kingdom of","1,605.95","1,841.37","1,867.47","1,689.64","1,571.41","1,426.83","1,369.28","1,549.88","1,506.69","1,609.44"
"","Liberia","16,581.66","18,229.65","14,833.57","13,587.44","11,917.03","8,670.73","10,063.32","8,632.33","9,812.53","12,337.07"
