"","","","","","","","","","","",""
"","Imports, CIF from Partner Countries","","","","","","","","","",""
"","","","","","","","","","","",""
"","World","","","","","","","","","",""
"","US Dollars, Millions","","","","","","","","","",""
"","","","","","","","","","","",""
"","Samoa","94.33","73.85","75.37","100.46","53.06","63.74","77.51","52.91","47.04","53.50"
"","Solomon Islands","413.84","614.12","694.17","674.82","705.81","724.06","614.03","837.40","906.55","707.09"
"","Sri Lanka","8,137.97","9,845.84","9,876.82","9,979.57","10,721.29","10,666.48","10,162.19","10,812.38","11,650.56","11,614.94"
"","Thailand","207,803.02","232,764.48","239,655.71","236,455.80","241,487.79","233,161.08","238,006.64","255,514.23","272,050.11","268,086.96"
"","Timor-Leste, Dem. Rep. of","60.84","151.90","1,146.74","694.83","134.25","322.33","48.72","106.50","81.18","120.87"
"","Tonga","12.10","15.55","13.44","12.81","13.12","11.33","14.50","15.97","15.01","18.93"
"","Tuvalu","3.38","5.01","23.53","7.30","11.73","5.17","3.39","3.57","12.96","11.17"
"","Vanuatu","570.79","731.81","452.66","378.31","644.15","912.70","649.21","255.81","188.57","185.21"
"","Vietnam","75,511.06","97,638.40","128,872.86","145,394.14","163,354.01","184,111.04","211,090.43","257,366.96","287,575.03","316,334.28"
"","Asia not specified","12,142.71","11,381.94","10,710.60","8,816.25","7,577.33","16,000.94","29,223.64","24,349.46","8,325.03","17,055.71"
"","Emerging and Developing Europe","957,014.28","1,198,181.97","1,222,058.45","1,232,800.98","1,222,282.71","986,188.78","948,075.51","1,099,994.60","1,255,212.37","1,243,605.62"
"","Albania","1,648.41","1,973.93","1,984.47","2,434.38","2,486.12","1,954.47","2,060.20","2,460.12","2,889.13","2,930.35"
"","Belarus, Rep. of","10,296.77","23,481.61","30,899.62","27,303.90","26,423.94","19,911.45","18,810.27","22,548.08","26,097.06","26,256.89"
"","Bosnia and Herzegovina","4,518.61","5,683.90","5,178.77","5,713.46","5,991.69","5,415.05","5,839.96","6,649.35","7,524.59","6,796.82"
"","Bulgaria","19,733.77","26,339.38","26,443.72","28,756.30","29,381.02","25,021.80","25,972.36","30,618.43","32,534.87","32,743.56"
"","Croatia, Rep. of","11,085.27","12,735.26","11,763.35","11,834.91","12,065.00","11,633.57","12,686.92","14,205.00","15,719.13","15,570.98"
"","Czechoslovakia","4.79","3.13","3.82","5.46","3.55","236.20","","","",""
"","Faroe Islands","930.77","1,149.49","1,053.23","1,301.71","1,433.49","1,297.68","1,485.05","1,552.58","1,540.57","1,768.71"
"","Gibraltar","538.19","677.92","1,262.94","908.46","1,824.45","429.92","317.67","457.59","235.21","223.60"
"","Hungary","90,303.07","103,925.09","97,071.33","102,258.72","108,333.64","100,324.24","102,764.07","113,483.91","123,042.78","122,375.94"
"","Kosovo, Rep. of","269.84","278.51","234.82","243.67","213.68","192.62","199.79","269.74","310.32","318.80"
"","Moldova, Rep. of","1,701.74","2,346.72","2,370.35","2,523.65","2,751.14","2,336.00","2,306.55","2,884.05","3,309.70","3,297.07"
"","Montenegro","474.01","551.13","649.10","579.16","674.16","404.99","445.34","432.85","396.39","474.75"
"","North Macedonia, Republic of","3,367.54","4,512.03","3,984.29","4,304.39","5,268.47","5,056.52","5,265.52","6,219.91","7,376.06","7,564.95"
"","Poland, Rep. of","149,065.53","177,595.51","175,707.64","192,706.33","205,440.81","190,445.60","199,600.97","226,266.66","251,492.62","255,658.25"
"","Romania","47,558.44","59,124.87","55,470.73","62,479.89","69,382.08","60,423.24","64,156.76","72,415.35","83,461.47","80,509.80"
"","Russian Federation","416,025.76","546,443.82","556,389.11","541,628.38","503,931.61","346,830.60","297,238.61","366,619.06","448,542.92","423,903.73"
"","Serbia, Rep. of","9,262.99","11,850.42","11,693.30","14,627.99","15,478.61","14,190.67","15,408.98","17,599.81","19,287.90","19,710.87"
"","Turkey","121,060.13","136,830.43","156,150.49","155,718.45","161,550.41","147,778.17","146,450.41","160,115.44","175,925.49","185,262.85"
"","Yugoslavia","5.08","1.46","5.75","18.59","0.24","30.56","29.44","","",""
"","Ukraine","60,513.81","74,577.01","75,254.54","68,118.84","60,747.41","44,711.45","39,854.00","47,491.90","52,965.43","56,261.27"
"","USSR","0.03","0.02","0.01","0.00","","","","","",""
"","Sub-Saharan Africa","342,434.30","464,493.77","484,727.90","474,784.04","463,496.01","323,431.18","292,059.25","341,969.64","401,259.27","382,596.19"
"","Angola","53,708.46","66,524.05","74,964.84","72,134.76","65,396.55","37,386.61","28,168.98","34,846.04","43,226.42","36,935.68"
